--wetting_kr
0	0
0.2	0
0.227586207	0.000367286
0.255172414	0.001614409
0.282758621	0.003857308
0.310344828	0.007182101
0.337931034	0.011666664
0.365517241	0.017386652
0.393103448	0.024418478
0.420689655	0.032841273
0.448275862	0.042738477
0.475862069	0.05419933
0.503448276	0.067320438
0.531034483	0.08220753
0.55862069	0.098977527
0.586206897	0.117761084
0.613793103	0.138705774
0.64137931	0.161980202
0.668965517	0.187779432
0.696551724	0.216332317
0.724137931	0.247911692
0.751724138	0.282848959
0.779310345	0.321555719
0.806896552	0.364557271
0.834482759	0.412547269
0.862068966	0.466483122
0.889655172	0.527768044
0.917241379	0.598644705
0.944827586	0.683225951
0.972413793	0.791309162
1	1

--nonwetting_drainage_kr
0	0.8
0.2	0.8
0.227586207	0.771154017
0.255172414	0.740363897
0.282758621	0.708321078
0.310344828	0.675539914
0.337931034	0.642405413
0.365517241	0.60920672
0.393103448	0.576161081
0.420689655	0.543431277
0.448275862	0.511138508
0.475862069	0.479372022
0.503448276	0.448196386
0.531034483	0.417657036
0.55862069	0.38778454
0.586206897	0.358597896
0.613793103	0.330107102
0.64137931	0.302315164
0.668965517	0.275219676
0.696551724	0.248814068
0.724137931	0.223088589
0.751724138	0.198031091
0.779310345	0.173627648
0.806896552	0.149863049
0.834482759	0.126721195
0.862068966	0.104185402
0.889655172	0.082238657
0.917241379	0.060863805
0.944827586	0.040043708
0.972413793	0.019761364
1	0

--nonwetting_imbibition_kr
0	0.8
0.2	0.8
0.227586207	0.770083115
0.255172414	0.735681726
0.282758621	0.697035421
0.310344828	0.654354581
0.337931034	0.60782547
0.365517241	0.557614219
0.393103448	0.503869971
0.420689655	0.446727409
0.448275862	0.386308803
0.475862069	0.322725691
0.503448276	0.25608027
0.531034483	0.186466547
0.55862069	0.113971323
0.586206897	0.038675009
0.6	0
1	0

--Pc_drainage
0	300000
0.2	300000
0.227586207	171047.6049
0.255172414	109524.3383
0.282758621	82268.51867
0.310344828	66020.8183
0.337931034	54932.84512
0.365517241	46748.04338
0.393103448	40386.81935
0.420689655	35259.18414
0.448275862	31011.88876
0.475862069	27418.80325
0.503448276	24327.56627
0.531034483	21631.27451
0.55862069	19252.41007
0.586206897	17133.20973
0.613793103	15229.63028
0.64137931	13507.42416
0.668965517	11939.50549
0.696551724	10504.13284
0.724137931	9183.625445
0.751724138	7963.437662
0.779310345	6831.478356
0.806896552	5777.603031
0.834482759	4793.228493
0.862068966	3004.036818
0.889655172	1418.745355
0.90	0
0.944827586	0
0.972413793	0
1	0

--Pc_imbibition
0	300000
0.2	300000
0.227586207	109524.3383
0.255172414	66020.8183
0.282758621	46748.04338
0.310344828	35259.18414
0.337931034	27418.80325
0.365517241	21631.27451
0.393103448	17133.20973
0.420689655	13507.42416
0.448275862	10504.13284
0.475862069	7963.437662
0.503448276	5777.603031
0.531034483	3871.036818
0.55862069	2188.925668
0.586206897	690.4247549
0.6	0
0.65	0
0.7	0
0.75	0
0.8	0
0.85	0
0.9	0
0.95	0
1	0

end
