P_bar,T_K,K_CO2,K_H2O
190.0,290.0,34.306464760227705,0.003220062152810092
190.0,292.05882352941177,35.02792432900385,0.0034022133989742662
190.0,294.11764705882354,35.72714903073608,0.0035914573137981235
190.0,296.1764705882353,36.40416909393294,0.0037879118284010393
190.0,298.2352941176471,37.05907257888898,0.003991693768337276
190.0,300.29411764705884,37.692002920397734,0.004202920084304127
190.0,302.3529411764706,38.303156099270645,0.0044217094699097815
190.0,304.4117647058824,38.89277747593822,0.004648184444615743
190.0,306.47058823529414,39.461158309662856,0.004882473987191594
190.0,308.52941176470586,40.00863197795046,0.005124716812840124
190.0,310.5882352941176,40.535569902791636,0.005375065392215833
190.0,312.6470588235294,41.04237718375485,0.005633690810791312
190.0,314.70588235294116,41.52948793316738,0.005900788559668592
190.0,316.7647058823529,41.99736030644564,0.006176585330490409
190.0,318.8235294117647,42.44647122158144,0.006461346861719027
190.0,320.88235294117646,42.87731077006533,0.00675538677463431
190.0,322.94117647058823,43.29037632658899,0.007059076422082968
190.0,325.0,43.68616639441129,0.007372855410507066
190.0,327.05882352941177,44.0651742392738,0.0076972425803646235
190.0,329.11764705882354,44.42788140485457,0.00803284693886644
190.0,331.1764705882353,44.77475124106514,0.008380377937665502
190.0,333.2352941176471,45.10622262006012,0.008740654352537522
190.0,335.29411764705884,45.42270405584295,0.009114610943483176
190.0,337.3529411764706,45.724568474879305,0.009503302080052765
190.0,339.4117647058823,46.01214889882484,0.009907901638053006
190.0,341.47058823529414,46.28573528858761,0.010329698724550269
190.0,343.52941176470586,46.54557275641588,0.010770089156245728
190.0,345.5882352941176,46.79186127942873,0.011230563057739677
190.0,347.6470588235294,47.02475695014022,0.011712689388683313
190.0,349.70588235294116,47.24437468926947,0.012218098567479263
190.0,351.7647058823529,47.450792239309536,0.012748464559910766
190.0,353.8235294117647,47.64405517005301,0.013305487803251432
190.0,355.88235294117646,47.824182571696994,0.013890880145731276
190.0,357.94117647058823,47.991173092991836,0.014506352646837785
190.0,360.0,48.14501099951566,0.01515360668134313
195.51724137931035,290.0,34.201718096491135,0.0032324580696878754
195.51724137931035,292.05882352941177,34.91730417485957,0.0034160549195151445
195.51724137931035,294.11764705882354,35.61043399262737,0.003606898590977258
195.51724137931035,296.1764705882353,36.281127705505476,0.0038051216334383754
195.51724137931035,298.2352941176471,36.92946248203845,0.004010856505627966
195.51724137931035,300.29411764705884,37.55557002551167,0.00422423676505159
195.51724137931035,302.3529411764706,38.15963373815468,0.004445398601741996
195.51724137931035,304.4117647058824,38.74188556536978,0.004674482780126559
195.51724137931035,306.47058823529414,39.30260254894104,0.004911637058075251
195.51724137931035,308.52941176470586,39.842103110330115,0.005157019157302955
195.51724137931035,310.5882352941176,40.36074307835038,0.005410800361967987
195.51724137931035,312.6470588235294,40.8589114699827,0.005673169820979834
195.51724137931035,314.70588235294116,41.337026029194526,0.005944339622206181
195.51724137931035,316.7647058823529,41.795528526610916,0.006224550697811519
195.51724137931035,318.8235294117647,42.234879825742745,0.006514079547201515
195.51724137931035,320.88235294117646,42.65555472058449,0.0068132458552034696
195.51724137931035,322.94117647058823,43.05803656677163,0.007122420812922504
195.51724137931035,325.0,43.44281173374494,0.007442036078416708
195.51724137931035,327.05882352941177,43.81036392906911,0.00777259310301512
195.51724137931035,329.11764705882354,44.161168468421664,0.008114672482825361
