well,lgr_name,stage1_well_exists,planned_stage2_role,lgr_k,cell_index,time_days,time_years,pressure_bar,z_co2,temperature_K,satG,report_idx,stage_name
I1,inj_lgr,True,injector_bottom_perforation,5,130,182.5,0.5,204.12316309957927,0.4814929567544531,312.31180745109003,0.7159193593407515,1,injection_only
P1,prod_lgr,False,producer_top_perforation,1,139,182.5,0.5,198.54774898076283,1.0999999999999999e-07,356.14917807222366,0.0,1,injection_only
