well,lgr_name,stage1_well_exists,planned_stage2_role,lgr_k,cell_index,time_days,time_years,pressure_bar,z_co2,temperature_K,satG
I1,inj_lgr,True,injector_bottom_perforation,5,130,912.5,2.5,203.30361431613807,0.99999989,313.13025288886166,1.0
P1,prod_lgr,False,producer_top_perforation,1,139,912.5,2.5,199.51364208789585,0.20140023893433806,356.442074779127,0.4951739055672014
